run,seed,iter,completed_eps,mean_return,mean_len,in_progress,ip_return,ip_len,clears,loss,policy_loss,value_loss,entropy,at_entrance,tau,tau_max,trail_rate,trail_n,trail_d,ent_rate,ent_n,ent_d,truncated
v27,0,64,99,2245.0,391.6,60,2134.3,377.8,54,5.626,-0.0847,22.8534,0.548,False,0,784,0.53,16,30,0.156,563,3604,2980
v27,0,65,96,2328.2,400.3,60,2177.6,383.5,54,5.6566,-0.0649,22.897,0.5561,False,0,784,0.63,19,30,0.16,586,3664,3017
v27,0,66,96,2466.4,419.0,60,2014.7,353.6,49,7.6363,0.1045,30.1373,0.5031,False,0,784,0.5,15,30,0.165,615,3729,3053
v27,0,67,104,2156.3,351.3,60,2296.2,415.1,48,8.2484,0.1038,32.5883,0.4937,False,0,784,0.37,11,30,0.168,638,3790,3094
v27,0,68,105,2144.8,358.3,60,2112.4,396.9,49,6.1223,-0.0451,24.6815,0.5936,False,0,784,0.37,11,30,0.173,667,3851,3131
v27,0,69,102,2338.6,405.3,60,1925.3,335.0,47,6.2508,0.0712,24.7305,0.5947,False,0,784,0.47,14,30,0.177,695,3922,3168
v27,0,70,113,2222.9,364.0,60,1893.7,338.4,47,6.6275,-0.052,26.7282,0.5286,False,0,784,0.4,12,30,0.18,720,3997,3212
v27,0,71,128,2007.5,319.5,60,2052.0,342.4,44,5.8011,-0.0761,23.5197,0.5415,False,0,784,0.33,10,30,0.182,743,4077,3253
v27,0,72,135,1922.9,284.5,60,2261.4,383.9,41,8.205,0.0051,32.8106,0.5502,False,0,784,0.37,11,30,0.182,758,4154,3294
v27,0,73,127,1949.5,312.5,60,2138.4,362.6,46,7.9,0.046,31.4271,0.5472,False,0,784,0.33,10,30,0.184,781,4237,3330
v27,0,74,126,1981.1,315.7,60,2043.5,361.0,46,8.0569,0.0991,31.8415,0.5095,False,0,784,0.37,11,30,0.187,805,4311,3369
v27,0,75,134,1975.1,312.1,60,2010.4,327.1,43,7.9736,0.0227,31.813,0.4661,False,0,784,0.37,11,30,0.189,831,4396,3407
v27,0,76,136,1725.3,250.2,60,2374.7,456.9,41,6.435,-0.0595,25.987,0.4627,False,0,784,0.17,5,30,0.189,846,4481,3449
v27,0,77,118,1986.2,327.4,60,1918.9,380.1,49,6.8522,0.0714,27.1328,0.49,False,0,784,0.3,9,30,0.192,874,4552,3480
v27,0,78,135,1944.3,306.9,60,1989.5,333.6,43,6.9192,-0.0116,27.7333,0.5111,False,0,784,0.5,15,30,0.194,897,4629,3517
